"","Survived","Pclass","age","fare","numsib","numpar"
"1",0,3,22,7.25,1,0
"2",1,1,38,71.2833,1,0
"3",1,3,26,7.925,0,0
"4",1,1,35,53.1,1,0
"5",0,3,35,8.05,0,0
"6",0,1,54,51.8625,0,0
"7",0.566666666666667,3,2,21.075,3,1
"8",1,3,27,11.1333,0,2
"9",1,2,14,30.0708,1,0
"10",1,3,4,16.7,1,1
"11",1,1,58,26.55,0,0
"12",0.473684210526316,3,20,8.05,0,0
"13",0,3,39,31.275,1,5
"14",0,3,14,7.8542,0,0
"15",1,2,55,16,0,0
"16",0,3,2,29.125,4,1
"17",0,3,31,18,1,0
"18",0.450704225352113,2,35,26,0,0
"19",0.348484848484849,2,34,13,0,0
"20",1,3,15,8.0292,0,0
"21",1,1,28,35.5,0,0
"22",0,3,8,21.075,3,1
"23",1,3,38,31.3875,1,5
"24",0,1,19,263,3,2
"25",0,1,40,27.7208,0,0
"26",0,2,66,10.5,0,0
"27",0,1,28,82.1708,1,0
"28",0,1,42,52,1,0
"29",0,3,21,8.05,0,0
"30",0.419354838709677,3,18,18,2,0
"31",1,3,14,11.2417,1,0
"32",0,3,40,9.475,1,0
"33",0,2,27,21,1,0
"34",0.617647058823529,2,3,41.5792,1,2
"35",1,3,19,7.8792,0,0
"36",0,3,18,17.8,1,0
"37",0,3,7,39.6875,4,1
"38",0,3,21,7.8,0,0
"39",0.452380952380952,1,49,76.7292,1,0
"40",1,2,29,26,1,0
"41",0,1,65,61.9792,0,1
"42",1,2,21,10.5,0,0
"43",0,3,28.5,7.2292,0,0
"44",1,2,5,27.75,1,2
"45",0.285714285714286,3,11,46.9,5,2
"46",0,3,22,7.2292,0,0
"47",1,1,38,80,0,0
"48",0,1,45,83.475,1,0
"49",0,3,4,27.9,3,2
"50",1,2,29,10.5,0,0
"51",0,3,19,8.1583,0,0
"52",1,3,17,7.925,4,2
"53",0.384615384615385,3,26,8.6625,2,0
"54",0,2,32,10.5,0,0
"55",0,3,16,46.9,5,2
"56",0,2,21,73.5,0,0
"57",0,3,26,14.4542,1,0
"58",1,3,32,56.4958,0,0
"59",0,3,25,7.65,0,0
"60",1,2,0.83,29,0,2
"61",0.48780487804878,3,30,12.475,0,0
"62",0,3,22,9,0,0
"63",1,3,29,9.5,0,0
"64",0,1,28,47.1,0,0
"65",1,2,17,10.5,0,0
"66",1,3,33,15.85,3,0
"67",0,3,16,34.375,1,3
"68",0.25,1,23,263,3,2
"69",0,3,24,8.05,0,0
"70",0,3,29,8.05,0,0
"71",0,3,20,7.8542,0,0
"72",0,1,46,61.175,1,0
"73",0,3,26,20.575,1,2
"74",0,3,59,7.25,0,0
"75",0,1,71,34.6542,0,0
"76",1,1,23,63.3583,0,1
"77",0.457627118644068,2,34,23,0,1
"78",0,2,34,26,1,0
